CityId,DistrictId,CityName,DistrictName,MinLentilArea,MinBeanArea,MinSunflowerArea,MinChickpeaArea,MinPotatoArea,MinRiceArea,MinCanolaArea,MinSoybeanArea,MinTomatoArea,MinSugarbeetArea,MinCottonArea,MinCornArea,MinPeanutArea,MinBarleyArea,MinOatArea,MinWheatArea,MinOnionArea
31,15,HATAY,YAYLADAĞI,21.81818182,0,0,10.90909091,0,0,0,0,76.36363636,0,0,10.90909091,0,7341.818182,152.7272727,11650.90909,76.36363636
31,17,HATAY,ALTINÖZÜ,0,0,0,1330.909091,0,0,0,0,1374.545455,0,12218.18182,76.36363636,0,2160,0,127341.8182,5989.090909
31,20,HATAY,DEFNE,0,0,0,218.1818182,109.0909091,0,0,0,360,0,0,0,174.5454545,0,1156.363636,24250.90909,0
33,25,MERSİN,AYDINCIK,0,0,0,10.90909091,0,0,0,0,0,0,0,0,0,0,0,207.2727273,0
31,26,HATAY,SAMANDAĞ,0,0,0,32.72727273,501.8181818,0,0,0,0,0,0,327.2727273,676.3636364,0,54.54545455,15938.18182,589.0909091
31,28,HATAY,REYHANLI,0,32.72727273,32.72727273,10.90909091,18654.54545,0,0,43.63636364,1865.454545,0,78763.63636,41683.63636,8236.363636,185.4545455,0,60065.45455,41454.54545
31,30,HATAY,ANTAKYA,0,43.63636364,109.0909091,261.8181818,1734.545455,0,0,512.7272727,316.3636364,0,82080,52025.45455,305.4545455,469.0909091,272.7272727,76156.36364,2072.727273
33,31,MERSİN,BOZYAZI,0,0,0,218.1818182,0,0,0,0,0,0,0,0,21.81818182,32.72727273,0,600,0
31,32,HATAY,KUMLU,0,0,0,0,4178.181818,0,0,0,0,0,62007.27273,18916.36364,2956.363636,0,0,37745.45455,13210.90909
7,34,ANTALYA,DEMRE,0,0,0,0,0,0,0,0,0,0,0,0,0,261.8181818,0,1440,0
33,36,MERSİN,ANAMUR,0,0,0,207.2727273,0,0,0,0,0,0,0,0,43.63636364,185.4545455,0,3294.545455,0
31,37,HATAY,BELEN,0,0,0,130.9090909,0,0,0,10.90909091,0,0,1985.454545,447.2727273,0,218.1818182,0,1985.454545,87.27272727
7,38,ANTALYA,GAZİPAŞA,0,0,0,21.81818182,10.90909091,0,0,0,0,0,0,10.90909091,87.27272727,458.1818182,32.72727273,3469.090909,174.5454545
31,39,HATAY,ARSUZ,0,0,0,141.8181818,76.36363636,0,0,0,3687.272727,0,2007.272727,4210.909091,163.6363636,447.2727273,0,26105.45455,316.3636364
33,40,MERSİN,GÜLNAR,0,0,0,76.36363636,0,0,0,0,0,0,0,0,0,567.2727273,0,1723.636364,0
7,43,ANTALYA,FİNİKE,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,185.4545455,13952.72727,0
