CityId,DistrictId,CityName,DistrictName,MaxWheatArea,MaxBarleyArea,MaxSunflowerArea,MaxRiceArea,MaxLentilArea,MaxChickpeaArea,MaxCottonArea,MaxSugarbeetArea,MaxSoybeanArea,MaxPeanutArea,MaxOatArea,MaxPotatoArea,MaxCornArea,MaxCanolaArea,MaxOnionArea,MaxBeanArea,MaxTomatoArea
1,225,ADANA,ALADAG,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,132,ADANA,CEYHAN,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,113,ADANA,CUKUROVA,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,291,ADANA,FEKE,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,165,ADANA,IMAMOGLU,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,170,ADANA,KARAISALI,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,51,ADANA,KARATAS,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,239,ADANA,KOZAN,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,210,ADANA,POZANTI,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,303,ADANA,SAIMBEYLI,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,131,ADANA,SARICAM,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,105,ADANA,SEYHAN,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,351,ADANA,TUFANBEYLI,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,75,ADANA,YUMURTALIK,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
1,104,ADANA,YUREGIR,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
2,233,ADIYAMAN,BESNI,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
2,307,ADIYAMAN,CELIKHAN,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
2,331,ADIYAMAN,GERGER,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
2,265,ADIYAMAN,GOLBASI,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
2,285,ADIYAMAN,KAHTA,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
2,279,ADIYAMAN,MERKEZ,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000,500000000000
