CityId,TARGET_FID,FieldId,CityName,DistrictName,CropName,Coef,FieldArea,VarName,VarValue,Utility
34,886,4471,İSTANBUL,ADALAR,Cotton,6.25,14.52,x6,1.0,90.75
34,886,4472,İSTANBUL,ADALAR,Canola,5.39,9.75,x30,1.0,52.552499999999995
34,886,4473,İSTANBUL,ADALAR,Potato,6.84,22.63,x45,1.0,154.7892
34,886,4474,İSTANBUL,ADALAR,Chickpea,8.66,8.87,x56,1.0,76.8142
34,886,4475,İSTANBUL,ADALAR,Oat,7.45,21.5,x78,1.0,160.175
34,886,4476,İSTANBUL,ADALAR,Soybean,5.81,13.23,x93,1.0,76.8663
34,886,4477,İSTANBUL,ADALAR,Onion,5.38,1.2,x116,1.0,6.4559999999999995
34,886,4478,İSTANBUL,ADALAR,Soybean,8.21,23.59,x127,1.0,193.67390000000003
34,886,4479,İSTANBUL,ADALAR,Barley,5.37,20.94,x137,1.0,112.44780000000002
34,886,4480,İSTANBUL,ADALAR,Wheat,8.3,8.35,x153,1.0,69.305
34,1036,4481,İSTANBUL,ARNAVUTKÖY,Bean,6.66,5.79,x185,1.0,38.5614
34,1036,4482,İSTANBUL,ARNAVUTKÖY,Barley,6.85,22.37,x188,1.0,153.2345
34,1036,4483,İSTANBUL,ARNAVUTKÖY,Lentil,9.41,11.39,x208,1.0,107.1799
34,1036,4484,İSTANBUL,ARNAVUTKÖY,Canola,10.04,25.5,x234,1.0,256.02
34,1036,4485,İSTANBUL,ARNAVUTKÖY,Rice,5.19,15.71,x241,1.0,81.53490000000001
34,1036,4486,İSTANBUL,ARNAVUTKÖY,Cotton,6.53,14.99,x261,1.0,97.88470000000001
34,1036,4487,İSTANBUL,ARNAVUTKÖY,Oat,8.03,10.19,x282,1.0,81.82569999999998
34,1036,4488,İSTANBUL,ARNAVUTKÖY,Barley,8.2,12.06,x290,1.0,98.892
34,1036,4489,İSTANBUL,ARNAVUTKÖY,Rice,6.93,15.02,x309,1.0,104.0886
34,1036,4490,İSTANBUL,ARNAVUTKÖY,Cotton,5.3,12.71,x329,1.0,67.363
34,945,4491,İSTANBUL,ATAŞEHİR,Oat,4.35,20.15,x350,1.0,87.65249999999999
34,945,4492,İSTANBUL,ATAŞEHİR,Onion,6.58,5.12,x371,1.0,33.6896
34,945,4493,İSTANBUL,ATAŞEHİR,Rice,5.46,14.82,x377,1.0,80.9172
34,945,4494,İSTANBUL,ATAŞEHİR,Bean,7.15,14.68,x406,1.0,104.962
34,945,4495,İSTANBUL,ATAŞEHİR,Oat,3.99,5.0,x418,1.0,19.950000000000003
34,945,4496,İSTANBUL,ATAŞEHİR,Tomato,10.02,14.79,x441,1.0,148.1958
34,945,4497,İSTANBUL,ATAŞEHİR,Corn,2.86,5.01,x454,1.0,14.328599999999998
