CityId,DistrictId,FieldId,CityName,DistrictName,CropName,Coef,FieldArea
1,225,1,ADANA,ALADAĞ,Wheat,7.5,26.53
1,225,1,ADANA,ALADAĞ,Barley,0,26.53
1,225,1,ADANA,ALADAĞ,Sunflower,1.49,26.53
1,225,1,ADANA,ALADAĞ,Rice,0.26,26.53
1,225,1,ADANA,ALADAĞ,Lentil,3.35,26.53
1,225,1,ADANA,ALADAĞ,Chickpea,0,26.53
1,225,1,ADANA,ALADAĞ,Cotton,2.19,26.53
1,225,1,ADANA,ALADAĞ,Sugarbeet,0.24,26.53
1,225,1,ADANA,ALADAĞ,Soybean,1.75,26.53
1,225,1,ADANA,ALADAĞ,Peanut,2.28,26.53
1,225,1,ADANA,ALADAĞ,Oat,0,26.53
1,225,1,ADANA,ALADAĞ,Potato,3.06,26.53
1,225,1,ADANA,ALADAĞ,Corn,2.63,26.53
1,225,1,ADANA,ALADAĞ,Canola,0,26.53
1,225,1,ADANA,ALADAĞ,Onion,5.79,26.53
1,225,1,ADANA,ALADAĞ,Bean,0,26.53
1,225,1,ADANA,ALADAĞ,Tomato,0,26.53
1,225,2,ADANA,ALADAĞ,Wheat,2.18,4.37
1,225,2,ADANA,ALADAĞ,Barley,0,4.37
1,225,2,ADANA,ALADAĞ,Sunflower,5.97,4.37
1,225,2,ADANA,ALADAĞ,Rice,0,4.37
1,225,2,ADANA,ALADAĞ,Lentil,0,4.37
1,225,2,ADANA,ALADAĞ,Chickpea,4.56,4.37
1,225,2,ADANA,ALADAĞ,Cotton,3.4,4.37
1,225,2,ADANA,ALADAĞ,Sugarbeet,0,4.37
1,225,2,ADANA,ALADAĞ,Soybean,0,4.37
1,225,2,ADANA,ALADAĞ,Peanut,3.5,4.37
1,225,2,ADANA,ALADAĞ,Oat,0,4.37
1,225,2,ADANA,ALADAĞ,Potato,0,4.37
1,225,2,ADANA,ALADAĞ,Corn,0,4.37
1,225,2,ADANA,ALADAĞ,Canola,0,4.37
1,225,2,ADANA,ALADAĞ,Onion,3.96,4.37
1,225,2,ADANA,ALADAĞ,Bean,3.19,4.37
