CityId,DistrictId,CityName,DistrictName,MaxLentilArea,MaxBeanArea,MaxSunflowerArea,MaxChickpeaArea,MaxPotatoArea,MaxRiceArea,MaxCanolaArea,MaxSoybeanArea,MaxTomatoArea,MaxSugarbeetArea,MaxCottonArea,MaxCornArea,MaxPeanutArea,MaxBarleyArea,MaxOatArea,MaxWheatArea,MaxOnionArea
31,15,HATAY,YAYLADAĞI,100,100,100,100,100,100,100,100,100,100,100,100,100,8220,170,13050,100
31,17,HATAY,ALTINÖZÜ,100,100,100,1490,100,100,100,100,1540,100,13690,100,100,2420,100,142670,6710
31,20,HATAY,DEFNE,100,100,100,250,120,100,100,100,400,100,100,100,200,100,1290,27160,100
33,25,MERSİN,AYDINCIK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,230,100
31,26,HATAY,SAMANDAĞ,100,100,100,100,570,100,100,100,100,100,100,370,750,100,100,17860,660
31,28,HATAY,REYHANLI,100,100,100,100,20900,100,100,100,2090,100,88240,46700,9230,210,100,67290,46440
31,30,HATAY,ANTAKYA,100,100,120,290,1940,100,100,570,350,100,91960,58290,340,530,310,85330,2320
33,31,MERSİN,BOZYAZI,100,100,100,250,100,100,100,100,100,100,100,100,100,100,100,680,100
31,32,HATAY,KUMLU,100,100,100,100,4680,100,100,100,100,100,69470,21190,3310,100,100,42290,14800
7,34,ANTALYA,DEMRE,100,100,100,100,100,100,100,100,100,100,100,100,100,290,100,1610,100
33,36,MERSİN,ANAMUR,100,100,100,230,100,100,100,100,100,100,100,100,100,210,100,3690,100
31,37,HATAY,BELEN,100,100,100,140,100,100,100,100,100,100,2220,500,100,250,100,2230,100
7,38,ANTALYA,GAZİPAŞA,100,100,100,100,100,100,100,100,100,100,100,100,100,510,100,3890,190
31,39,HATAY,ARSUZ,100,100,100,160,100,100,100,100,4130,100,2250,4720,190,500,100,29240,360
33,40,MERSİN,GÜLNAR,100,100,100,100,100,100,100,100,100,100,100,100,100,630,100,1930,100
7,43,ANTALYA,FİNİKE,100,100,100,100,100,100,100,100,100,100,100,100,100,3230,210,15640,100
31,44,HATAY,KIRIKHAN,100,100,1260,100,1910,100,100,130,2540,100,139900,60260,1020,100,100,183600,3820
31,45,HATAY,İSKENDERUN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3060,150
7,47,ANTALYA,KAŞ,100,190,100,230,100,100,100,100,100,100,100,100,100,4430,360,33350,100
70,49,KARAMAN,SARIVELİLER,100,100,100,100,100,100,100,100,100,100,100,100,100,270,100,100,100
1,51,ADANA,KARATAŞ,100,100,1500,100,1110,100,100,78610,100,100,147830,99150,89720,770,100,156710,1200
31,52,HATAY,PAYAS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1110,100
7,54,ANTALYA,KEMER,100,100,100,100,100,100,100,100,100,100,100,600,100,350,100,3990,100
7,55,ANTALYA,ALANYA,100,100,100,100,100,100,100,100,100,100,100,100,150,400,100,5670,200
70,59,KARAMAN,BAŞYAYLA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,230,100
79,61,KİLİS,ELBEYLİ,19520,100,100,16700,100,100,100,100,100,100,10170,16440,100,33050,100,95860,100
70,69,KARAMAN,ERMENEK,100,170,100,1540,110,100,100,100,100,100,100,100,100,790,100,1960,100
79,70,KİLİS,MERKEZ,28970,100,100,7430,100,100,100,100,1490,100,810,570,100,57930,100,69090,2780
1,75,ADANA,YUMURTALIK,100,100,85340,160,8850,100,100,12490,100,100,23060,19930,14680,2350,100,83920,1920
31,76,HATAY,HASSA,100,100,100,100,100,1110,100,100,100,100,4700,12670,100,1060,100,26820,240
7,77,ANTALYA,KUMLUCA,100,100,100,110,100,100,100,100,100,100,100,100,100,560,100,4300,100
33,78,MERSİN,YENİŞEHİR,100,100,100,100,100,100,100,100,100,100,100,130,100,310,100,2000,100
79,79,KİLİS,POLATELİ,3730,100,100,740,100,100,100,100,1180,100,100,100,100,10260,100,15130,340
31,81,HATAY,DÖRTYOL,100,100,100,100,100,100,100,100,100,100,100,840,6610,1410,100,24450,4650
33,87,MERSİN,MEZİTLİ,100,100,100,100,100,100,100,100,100,100,100,980,100,100,100,8440,100
33,88,MERSİN,MUT,100,150,100,3050,100,100,100,100,100,100,100,100,100,2150,100,10130,100
